song_id,title,artist_id,artist_name,year,duration,tempo,loudness
SOMZWCG12A8C13C480,I Didn't Mean To,ARD7TVE1187B99BFB1,Casual,0,218.93179,92.198,-11.197
SOCIWDW12A8C13D406,Soul Deep,ARMJAGH1187FB546F3,The Box Tops,1969,148.03546,121.274,-9.843
SOXVLOJ12AB0189215,Amor De Cabaret,ARKRRTF1187B9984DA,Sonora Santanera,0,177.47546,100.07,-9.689
SONHOTT12A8C13493C,Something Girls,AR7G5I41187FB4CE6C,Adam Ant,1982,233.40363,119.293,-9.013
SOFSOCN12A8C143F5D,Face the Ashes,ARXR32B1187FB57099,Gob,2007,209.60608,129.738,-4.501
SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),ARKFYS91187B98E58F,Jeff And Sheri Easter,0,267.7024,147.782,-9.323
SOMJBYD12A6D4F8557,Keepin It Real (Skit),ARD0S291187B9B7BF5,Rated R,0,114.78159,111.787,-17.302
SOHKNRJ12A6701D1F8,Drop of Rain,AR10USD1187B99F3F1,Tweeterfriendly Music,0,189.57016,101.43,-11.642
SOIAZJW12AB01853F1,Pink World,AR8ZCNI1187B9A069B,Planet P Project,1984,269.81832,86.643,-13.496
SOUDSGM12AC9618304,Insatiable (Instrumental Version),ARNTLGG11E2835DDB9,Clp,0,266.39628,114.041,-6.697
SOQHXMF12AB0182363,Young Boy Blues,ARGSJW91187B9B1D6B,JennyAnyKind,0,218.77506,146.765,-10.021
SOKEJEJ12A8C13E0D0,The Urgency (LP Version),ARC43071187B990240,Wayne Watson,0,245.21098,117.975,-7.545
SOMUYGI12AB0188633,La Culpa,ARL7K851187B99ACD2,Andy Andy,0,226.35057,130.04,-6.632
SORAMLE12AB017C8B0,Auguri Cha Cha,ARHHO3O1187B989413,Bob Azzam,0,191.84281,137.334,-7.75
SOBONFF12A6D4F84D8,Tonight Will Be Alright,ARIK43K1187B9AE54C,Lionel Richie,1986,307.3824,125.197,-8.346
SOHUOAP12A8AE488E9,Floating,ARD842G1187B997376,Blue Rodeo,1987,491.12771,119.826,-8.576
SOUQQEA12A8C134B1B,High Tide,ARIG6O41187B988BDD,Richard Souther,0,228.5971,127.756,-16.11
